Tempo,Sensor 0,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8,Sensor 9,Sensor 10,Sensor 11,Sensor 12,Sensor 13,Sensor 14,Sensor 15,Sensor 16,Sensor 17
2.5599999999999894,0,84,1,280,0,1,0,1,162,15,1,0,9448,2360,-11552,-107,108,-100
2.569999999999989,0,101,1,261,0,1,0,0,162,0,1,0,9456,2348,-11716,-84,98,-86
2.579999999999989,0,219,0,301,1,0,0,0,162,0,0,0,9388,2420,-11612,-85,98,-96
2.5899999999999888,35,529,1,524,0,0,0,1,162,58,0,1,9492,2424,-11708,-99,104,-101
2.5999999999999885,36,522,0,521,0,0,1,1,162,58,1,0,9448,2368,-11532,-90,113,-110
2.6099999999999883,37,521,0,521,0,1,0,0,163,58,0,0,9360,2288,-11504,-88,74,-93
2.619999999999988,74,448,1,535,0,1,0,0,162,80,0,2,9412,2424,-11500,-88,69,-117
2.629999999999988,61,328,1,478,0,1,1,1,163,84,1,0,9428,2412,-11620,-82,93,-100
2.6399999999999877,56,250,1,411,0,1,1,1,163,71,1,0,9456,2356,-11648,-94,107,-111
2.6499999999999875,57,247,0,403,0,1,1,1,162,69,0,1,9376,2424,-11660,-82,112,-97
2.6599999999999873,52,178,1,359,0,1,1,1,162,56,1,0,9508,2404,-11736,-85,86,-107
2.669999999999987,29,117,1,311,0,1,1,0,162,34,1,0,9368,2380,-11524,-92,98,-115
2.679999999999987,0,81,1,271,0,0,1,0,163,9,1,0,9408,2348,-11656,-103,112,-99
2.6899999999999866,0,145,1,278,1,0,0,0,162,0,0,1,9436,2296,-11680,-90,83,-99
2.6999999999999864,0,497,0,467,1,0,0,0,162,0,0,0,9396,2324,-11584,-83,106,-122
2.709999999999986,38,520,1,529,0,1,0,1,163,61,1,1,9420,2408,-11528,-88,114,-89
2.719999999999986,59,501,1,529,0,1,1,0,162,69,1,0,9400,2388,-11472,-95,88,-94
2.7299999999999858,60,314,1,461,0,2,0,2,162,84,1,1,9420,2256,-11540,-93,117,-103
2.7399999999999856,61,312,0,450,0,1,0,1,163,85,1,1,9456,2404,-11684,-102,106,-94
2.7499999999999853,61,310,0,448,0,1,1,1,162,84,1,1,9376,2368,-11508,-124,100,-99
2.759999999999985,60,309,0,450,0,1,1,1,162,84,1,1,9404,2312,-11684,-91,104,-105
2.769999999999985,60,308,0,448,0,1,1,1,162,85,1,1,9432,2384,-11628,-108,109,-81
2.7799999999999847,62,307,1,447,0,1,1,1,162,84,1,1,9364,2248,-11708,-78,86,-79
2.7899999999999845,49,162,1,352,0,1,0,1,162,51,0,1,9388,2208,-11576,-85,93,-101
2.7999999999999843,23,108,1,303,0,0,1,0,162,30,1,0,9392,2436,-11752,-89,89,-106
2.809999999999984,0,83,1,263,0,0,1,0,162,5,1,0,9416,2324,-11672,-125,84,-102
2.819999999999984,0,150,1,278,1,0,0,0,163,0,0,1,9260,2280,-11612,-79,98,-92
2.8299999999999836,0,509,0,481,1,0,0,0,163,0,1,0,9404,2392,-11568,-82,109,-99
2.8399999999999834,62,495,0,525,1,1,0,1,162,70,1,1,9404,2296,-11548,-83,95,-100
2.849999999999983,79,421,1,532,0,1,1,2,162,82,1,0,9404,2304,-11540,-104,89,-122
2.859999999999983,79,416,0,524,0,0,1,1,163,81,1,0,9444,2380,-11636,-109,109,-93
2.869999999999983,79,412,0,524,0,0,1,1,162,81,1,0,9356,2280,-11500,-98,96,-111
2.8799999999999826,61,298,1,449,0,1,1,1,162,84,1,0,9364,2448,-11552,-78,94,-96
2.8899999999999824,46,152,1,345,0,1,0,1,162,49,0,1,9392,2324,-11436,-78,113,-100
2.899999999999982,47,173,1,337,0,1,0,1,162,49,1,1,9368,2352,-11608,-78,106,-100
2.909999999999982,47,182,0,337,0,0,0,1,162,49,1,1,9392,2396,-11672,-101,114,-102
2.9199999999999817,55,255,1,392,1,1,0,1,162,64,1,1,9416,2372,-11800,-79,74,-92
2.9299999999999815,19,92,1,296,0,1,0,1,162,27,0,1,9364,2372,-11616,-78,108,-104
2.9399999999999813,0,84,1,260,0,1,0,1,163,2,1,0,9452,2388,-11628,-107,103,-115
2.949999999999981,0,126,1,270,0,1,0,0,162,0,0,1,9548,2396,-11608,-95,98,-96
2.959999999999981,0,415,0,412,1,0,0,0,163,0,0,1,9336,2276,-11580,-88,100,-106
2.9699999999999807,31,528,1,526,0,1,0,0,163,43,0,1,9504,2444,-11600,-100,100,-92
2.9799999999999804,32,527,0,519,0,0,1,0,163,42,0,0,9480,2380,-11484,-102,89,-99
2.9899999999999802,43,515,1,528,0,1,0,1,162,64,1,0,9288,2316,-11556,-98,107,-89
2.99999999999998,67,488,1,533,0,1,1,0,163,71,1,0,9484,2432,-11464,-101,81,-98
3.00999999999998,79,407,1,526,0,1,1,1,163,82,1,0,9436,2296,-11628,-84,101,-113
3.0199999999999796,77,403,0,517,0,0,1,1,163,83,1,1,9408,2356,-11616,-88,114,-81
3.0299999999999794,60,293,1,442,0,1,0,1,163,82,1,0,9452,2376,-11700,-91,113,-87
3.039999999999979,55,217,1,388,0,0,1,0,162,64,1,0,9476,2404,-11664,-101,102,-114
3.049999999999979,61,293,1,442,1,1,0,1,162,83,0,1,9480,2356,-11572,-101,97,-95
3.0599999999999787,55,218,1,388,0,1,0,0,163,64,1,0,9416,2252,-11568,-87,113,-81
